Date,Conversation,Location,Source,Duration,Weight,Label,Target
"Feb 18, 1971",451-001,Oval Office,Nixon,12,14,White House personnel and admin matters,"Ehrlichman, Butterfield"
"Feb 18, 1971",451-004,Oval Office,Nixon,15,13,"Foreign policy, media strategy","Kissinger, Safire, Ziegler"
"Mar 23, 1971",472-004,Oval Office,Nixon,18,21,Milk price supports and political implications,"Ehrlichman, Connally, Hardin"
"Mar 23, 1971",472-021,Oval Office,Nixon,20,21,Dairy industry policy and election tactics,"Connally, Ehrlichman, Hardin"
"Apr 19, 1971",482-017,Oval Office,Nixon,22,14,Economic policy and international relations,"Ehrlichman, Shultz"
"Apr 21, 1971",485-004,Oval Office,Nixon,14,6,Political and legal strategy,Mitchell
"May 5, 1971",491-014,Oval Office,Nixon,13,8,Domestic policy and administration,Haldeman
"May 6, 1971",	493-007,Oval Office,Nixon,25,6,Global food production and agri innovation,"Hardin, Borlaug, MacGregor"
"May 13, 1971",498-003,Oval Office,Nixon,17,1,"Mexico healthcare, US investment prospects",Dr. DuVal
"June 2, 1971",510-005,Oval Office,Nixon,19,3,Economic and trade policy,Connally
"June 4, 1971",512-016,Oval Office,Nixon,16,7,Legal/judicial appointments,"Specter, Mitchell"
"June 7, 1971",515-005,Oval Office,Nixon,14,20,Domestic policy coordination,"Ehrlichman, Haldeman"
"June 29, 1971",517-025,Oval Office,Nixon,15,12,Political opposition and policy response,Ehrlichman
"July 8, 1971",520-007,Oval Office,Nixon,20,11,Vietnam War strategy and diplomacy,Kissinger
"July 16, 1971",525-014,Oval Office,Nixon,13,8,Campaign and election planning,Haldeman
"July 23, 1971",530-019,Oval Office,Nixon,14,6,Supreme Court nominee discussion,Mitchell
"July 30, 1971",535-008,Oval Office,Nixon,21,11,Policy on China and Cold War diplomacy,Kissinger
"	Sept 15, 1971",542-010,Oval Office,Nixon,16,8,"Domestic policy, budget, legislative planning",Haldeman
"	Sept 22, 1971",	544-003,Oval Office,Nixon,20,11,National security and Southeast Asia policy,Kissinger
"Oct 5, 1971",550-003,Oval Office,Nixon,18,12,Vietnam updates and national security,Ehrlichman
"Oct 12, 1971",552-006,Oval Office,Nixon,15,14,Political campaign strategy and media relations,"Mitchell, Haldeman"
"Oct 29, 1971",556-007,Oval Office,Nixon,22,11,Middle East diplomacy and peace talks,Kissinger
"Nov 10, 1971",560-009,Oval Office,Nixon,24,11,Middle East diplomacy and Soviet relations,Kissinger
"Nov 22, 1971",563-011,Oval Office,Nixon,16,12,Domestic law enforcement and urban policy,Ehrlichmann
"Dec 1, 1971",566-005,Oval Office,Nixon,14,8,Budget discussions and 1972 fiscal planning,Haldeman
"Dec 9, 1971",570-012,Oval Office,Nixon,20,11,Strategic talks on détente with Soviet Union,Kissinger
"Dec 15, 1971",572-008,Oval Office,Nixon,15,6,Legal strategies for upcoming political challenges,Mitchell
"Dec 20, 1971",575-013,Oval Office,Nixon,1,12,Domestic policy review and legislative agenda,Ehrlichmann
"Dec 27, 1971",	578-004,Oval Office,Nixon,21,11,Foreign policy planning and 1972 diplomatic priorities,Kissinger
"January 3, 1972",34–001,Oval Office,Nixon,38,8,Discussion on political strategy and media relations,Haldeman
"January 15, 1972",34–015,Oval Office,Nixon,30,6,Review of upcoming legislative agenda,Ehrlichmann
"February 5, 1972",34–030,Oval Office,Nixon,36,7,Briefing on Vietnam peace talks,Kissinger
"February 15, 1972",34–045,White House Telephone,Nixon,27,5,Conversation about media coverage of administration policies,Colson
